track 1;
16 -0.220265;
17 -0.220265;
17 -0.219855;
17 -0.219855;
16 -0.219636;
17 -0.219636;
17 -0.219637;
15 -0.219637;
19 -0.219955;
16 -0.219955;
17 -0.220627;
17 -0.220627;
24 -0.221702;
16 -0.221702;
17 -0.223166;
15 -0.223166;
15 -0.224915;
15 -0.224915;
15 -0.226691;
16 -0.226691;
17 -0.228479;
17 -0.228479;
17 -0.230295;
17 -0.230295;
16 -0.232004;
17 -0.232004;
16 -0.233662;
17 -0.233662;
24 -0.235117;
16 -0.236357;
14 -0.236357;
15 -0.236357;
15 -0.237435;
17 -0.237435;
17 -0.238349;
17 -0.238349;
17 -0.239308;
17 -0.239308;
16 -0.240228;
17 -0.240228;
17 -0.241084;
16 -0.241084;
16 -0.241889;
17 -0.241889;
17 -0.242632;
17 -0.242632;
16 -0.243326;
16 -0.243326;
16 -0.243933;
17 -0.243933;
24 -0.244476;
16 -0.244982;
14 -0.244982;
16 -0.244982;
15 -0.245452;
15 -0.245452;
22 -0.245941;
14 -0.245941;
16 -0.246466;
14 -0.246466;
17 -0.246968;
16 -0.246968;
17 -0.247431;
17 -0.247431;
24 -0.247859;
14 -0.247859;
14 -0.248232;
16 -0.248232;
16 -0.248553;
16 -0.248553;
17 -0.248801;
17 -0.248801;
17 -0.24898;
17 -0.24898;
18 -0.249032;
16 -0.249032;
15 -0.248975;
16 -0.248975;
18 -0.248859;
16 -0.248859;
17 -0.248632;
16 -0.248632;
16 -0.248326;
16 -0.248326;
17 -0.247928;
17 -0.247928;
16 -0.247374;
18 -0.247374;
16 -0.246707;
17 -0.246707;
16 -0.245984;
16 -0.245984;
18 -0.245146;
15 -0.245146;
18 -0.24419;
16 -0.24419;
17 -0.243062;
17 -0.243062;
17 -0.241822;
17 -0.241822;
17 -0.240572;
16 -0.240572;
17 -0.239356;
16 -0.239356;
18 -0.238225;
16 -0.238225;
17 -0.237134;
17 -0.237134;
17 -0.235933;
17 -0.235933;
17 -0.234587;
16 -0.234587;
18 -0.233134;
15 -0.233134;
18 -0.231432;
16 -0.231432;
16 -0.229407;
17 -0.229407;
17 -0.227072;
17 -0.227072;
17 -0.224468;
17 -0.224468;
16 -0.221235;
17 -0.221235;
17 -0.21762;
16 -0.21762;
17 -0.213501;
16 -0.213501;
17 -0.209613;
16 -0.209613;
16 -0.205899;
18 -0.205899;
16 -0.202382;
17 -0.202382;
18 -0.198996;
16 -0.198996;
16 -0.195624;
17 -0.195624;
17 -0.192096;
16 -0.192096;
17 -0.188283;
16 -0.188283;
17 -0.183801;
17 -0.183801;
17 -0.179313;
16 -0.179313;
17 -0.175303;
16 -0.175303;
17 -0.171143;
16 -0.171143;
16 -0.166758;
18 -0.166758;
17 -0.162501;
17 -0.162501;
15 -0.158667;
17 -0.158667;
16 -0.155148;
18 -0.155148;
16 -0.151975;
16 -0.151975;
17 -0.149043;
17 -0.149043;
17 -0.146261;
16 -0.146261;
17 -0.143528;
16 -0.143528;
18 -0.140785;
17 -0.140785;
16 -0.138061;
17 -0.138061;
16 -0.13504;
17 -0.13504;
16 -0.131491;
16 -0.131491;
17 -0.12704;
16 -0.12704;
18 -0.122784;
16 -0.122784;
18 -0.118728;
16 -0.118728;
18 -0.114837;
16 -0.114837;
17 -0.11156;
17 -0.11156;
15 -0.108882;
18 -0.108882;
18 -0.106756;
17 -0.106756;
17 -0.10503;
17 -0.10503;
17 -0.103635;
17 -0.103635;
16 -0.102264;
17 -0.102264;
18 -0.100926;
17 -0.100926;
15 -0.099508;
16 -0.099508;
16 -0.098172;
17 -0.098172;
17 -0.096952;
17 -0.096952;
17 -0.095902;
17 -0.095902;
17 -0.095036;
17 -0.095036;
15 -0.094367;
17 -0.094367;
17 -0.093875;
17 -0.093875;
16 -0.093548;
17 -0.093548;
16 -0.093368;
17 -0.093368;
16 -0.093296;
16 -0.093296;
17 -0.093745;
17 -0.093745;
16 -0.094973;
18 -0.094973;
16 -0.097341;
150 -0.097341;
0 -0.100428;
0 -0.100428;
0 -0.104291;
0 -0.104291;
0 -0.108036;
0 -0.108036;
0 -0.111877;
0 -0.111877;
16 -0.115262;
16 -0.115262;
18 -0.118226;
16 -0.118226;
18 -0.120718;
17 -0.120718;
16 -0.123049;
17 -0.123049;
16 -0.124955;
18 -0.124955;
16 -0.126602;
17 -0.126602;
16 -0.127976;
17 -0.127976;
17 -0.129038;
16 -0.129038;
18 -0.129895;
17 -0.129895;
16 -0.130596;
17 -0.130596;
16 -0.131156;
16 -0.131156;
16 -0.131611;
18 -0.131611;
24 -0.131994;
10 -0.131994;
15 -0.13228;
17 -0.13228;
16 -0.132458;
17 -0.132458;
17 -0.132545;
17 -0.132545;
17 -0.132521;
16 -0.132521;
17 -0.13244;
17 -0.13244;
17 -0.132284;
15 -0.132284;
18 -0.132056;
16 -0.132056;
16 -0.131808;
16 -0.131808;
17 -0.131535;
16 -0.131535;
16 -0.131276;
18 -0.131276;
16 -0.131039;
17 -0.131039;
16 -0.130829;
18 -0.130829;
17 -0.130677;
16 -0.130677;
18 -0.130552;
16 -0.130552;
18 -0.130446;
16 -0.130446;
16 -0.130351;
17 -0.130351;
17 -0.130248;
16 -0.130248;
17 -0.130112;
18 -0.130112;
16 -0.129897;
17 -0.129897;
17 -0.129608;
16 -0.129608;
18 -0.129295;
17 -0.129295;
17 -0.128785;
16 -0.128785;
17 -0.128198;
18 -0.128198;
16 -0.127636;
16 -0.127636;
18 -0.127046;
18 -0.127046;
16 -0.126432;
18 -0.126432;
16 -0.12577;
17 -0.12577;
16 -0.125035;
17 -0.125035;
134 -0.12419;
0 -0.12419;
0 -0.123186;
0 -0.123186;
0 -0.122128;
0 -0.122128;
0 -0.121039;
0 -0.121039;
16 -0.11998;
16 -0.11998;
17 -0.118962;
17 -0.118962;
16 -0.117898;
18 -0.117898;
15 -0.11688;
18 -0.11688;
16 -0.115847;
16 -0.115847;
17 -0.114839;
16 -0.114839;
17 -0.11381;
15 -0.11381;
19 -0.112732;
16 -0.112732;
17 -0.11163;
17 -0.11163;
15 -0.110401;
19 -0.110401;
16 -0.109026;
17 -0.109026;
16 -0.107645;
17 -0.107645;
16 -0.106314;
17 -0.106314;
16 -0.104788;
17 -0.104788;
